exp,bucket,bge_acc,bge_acc_std,bge_f1,bge_f1_std,inlegal_acc,inlegal_acc_std,inlegal_f1,inlegal_f1_std
baseline,family_matrimonial,0.8217,0.0079,0.8042,0.0088,0.8091,0.0064,0.7913,0.0045
baseline,fin_fraud,0.7683,0.0093,0.7577,0.0103,0.7447,0.009,0.7333,0.0101
baseline,land_property,0.8083,0.005,0.7916,0.006,0.7947,0.0107,0.7788,0.0133
baseline,motor_accidents,0.842,0.0043,0.8147,0.0052,0.8295,0.0058,0.8058,0.007
baseline,sexual_offences,0.7752,0.0071,0.7538,0.0067,0.7589,0.016,0.7339,0.0123
baseline,cross_bucket,0.7811,0.0055,0.7759,0.0043,0.7584,0.006,0.7501,0.0042
party_args_no_lr,family_matrimonial,0.8249,0.0047,0.8049,0.0041,0.8177,0.0108,0.7993,0.0088
party_args_no_lr,fin_fraud,0.7736,0.0112,0.7595,0.0127,0.7448,0.0122,0.7325,0.0137
party_args_no_lr,land_property,0.8088,0.0104,0.7945,0.0088,0.8013,0.0098,0.7847,0.011
party_args_no_lr,motor_accidents,0.8433,0.0022,0.8188,0.0032,0.8278,0.0092,0.8033,0.0079
party_args_no_lr,sexual_offences,0.7792,0.0059,0.7593,0.0058,0.7564,0.0051,0.7329,0.005
party_args_no_lr,cross_bucket,0.7868,0.0041,0.7799,0.0035,0.7602,0.0072,0.7525,0.0069
baseline_lr_decay,family_matrimonial,0.8212,0.0082,0.8031,0.0091,0.8119,0.0051,0.7942,0.0041
baseline_lr_decay,fin_fraud,0.7681,0.0121,0.7582,0.0128,0.7468,0.0107,0.7341,0.0123
baseline_lr_decay,land_property,0.8084,0.0033,0.7931,0.0059,0.7973,0.0044,0.7801,0.0047
baseline_lr_decay,motor_accidents,0.8398,0.0037,0.815,0.0019,0.8329,0.0081,0.8084,0.0083
baseline_lr_decay,sexual_offences,0.7766,0.0076,0.7536,0.008,0.7617,0.0096,0.7348,0.0108
baseline_lr_decay,cross_bucket,0.7965,0.0043,0.7905,0.0045,0.7783,0.0039,0.7701,0.0029
