case_type,count
Criminal,17
Criminal Petition,14
UNKNOWN,11
Writ Petition,9
Anticipatory Bail Application,6
ANTICIPATORY BAIL APPLICATION,3
Criminal Anticipatory Bail Application,3
Public Interest Litigation,3
Letters Patent Appeals,3
Criminal Miscellaneous,2
Criminal Original Petition,2
Miscellaneous Petition,1
CRIMINAL ANTICIPATORY BAIL APPLICATION,1
Criminal Misc,1
Writ Appeal,1
SC-ST-PIL,1
CRIMINAL APPELLATE JURISDICTION,1
Writ Petition (Civil),1
Civil Writ Jurisdiction,1
Suo Motu Public Interest Litigation,1
PIL-W,1
Petition for setting aside Arbitral Award,1
Criminal Misc.,1
Miscellaneous Criminal Case,1
Petition under Article 226 of the Constitution of India,1
Criminal Misc. Case,1
Writ Petition (PIL),1
Criminal Appeal,1
Compensation Claim,1
Arbitration,1
