court,count
THE HIGH COURT OF JUDICATURE AT BOMBAY,11
HIGH COURT OF ANDHRA PRADESH,9
High Court,8
Indian Kanoon,8
THE HIGH COURT OF ORISSA AT CUTTACK,7
HIGH COURT OF JUDICATURE AT MADRAS,3
THE HIGH COURT OF DELHI AT NEW DELHI,3
High Court of Delhi,3
THE HIGH COURT OF JUDICATURE AT PATNA,2
HIGH COURT OF KARNATAKA AT BENGALURU,2
Supreme Court of India,2
High Court of Telangana,2
High Court of Andhra Pradesh,2
THE HIGH COURT OF KERALA AT ERNAKULAM,2
The High Court Of Madhya Pradesh,2
MADRAS HIGH COURT,2
HIGH COURT OF KARNATAKA,2
HIGH COURT OF JUDICATURE FOR RAJASTHAN AT JODHPUR,1
THE HIGH COURT OF KARNATAKA AT BENGALURU,1
High Court of Kerala at Ernakulam,1
Principal District and Sessions Judge,1
UNKNOWN,1
PATIALA HOUSE COURTS,1
Sri Potti Sree Ramulu SPSR Nellore District,1
Judicial First Class Magistrate Naidupet,1
Judicial Magistrate of First Class,1
GAUHATI HIGH COURT,1
HIGH COURT OF JUDICATURE AT BOMBAY,1
THE GAUHATI HIGH COURT,1
HIGH COURT OF KERALA AT ERNAKULAM,1
THE HIGH COURT OF GUJARAT AT AHMEDABAD,1
THE HIGH COURT OF JHARKHAND AT RANCHI,1
High Court of Judicature at Bombay,1
LXXXII ADDL.CITY CIVIL & SESSIONS JUDGE,1
HIGH COURT OF MADHYA PRADESH AT GWALIOR,1
THE HIGH COURT OF THE STATE OF ANDHRA PRADESH,1
XXIV ADDITIONAL SMALL CAUSES JUDGE AND THE MOTOR ACCIDENT CLAIMS TRIBUNAL & A.C.M.M. (SCCH−26) AT BENGALURU,1
"LXXXIX ADDL.CITY CIVIL & SESSIONS JUDGE, BENGALURU",1
HIGH COURT FOR THE STATE OF TELANGANA,1
