court,count
THE HIGH COURT OF JUDICATURE AT BOMBAY,11
HIGH COURT OF ANDHRA PRADESH,9
High Court,8
Indian Kanoon,8
THE HIGH COURT OF ORISSA AT CUTTACK,7
HIGH COURT OF JUDICATURE AT MADRAS,3
THE HIGH COURT OF DELHI AT NEW DELHI,3
High Court of Delhi,3
THE HIGH COURT OF JUDICATURE AT PATNA,2
HIGH COURT OF KARNATAKA AT BENGALURU,2
Supreme Court of India,2
High Court of Telangana,2
High Court of Andhra Pradesh,2
THE HIGH COURT OF KERALA AT ERNAKULAM,2
The High Court Of Madhya Pradesh,2
MADRAS HIGH COURT,2
HIGH COURT OF KARNATAKA,2
HIGH COURT OF JUDICATURE FOR RAJASTHAN AT JODHPUR,1
THE HIGH COURT OF KARNATAKA AT BENGALURU,1
High Court of Kerala at Ernakulam,1
