,count
Joseph Kurian & Anr. Vs. State of Kerala,4
Criminal Petition Nos.5421 of 2019 and batch,4
ABA (Stamp) No.2489/2020,4
"Rajasthan State Industrial Development & Investment Corpn. v. Subhash Sindhi Coop. Housing Society, (2013) 5 SCC 427",3
"Mahabir Auto Stores and Ors. vs. Indian Oil Corporation and Ors., AIR 1990 SC 1031",3
Central Inland Water Transport Corporation Ltd & Anr v. Brojo Nath Ganguly & Anr. (1986) 3 SCC 156,3
"Supreme Court in Bijay Cotton Mills v. State of Ajmer, AIR 1955 SC 33, which is as follows",3
"Federation of Railway Officers Association & Ors. vs. Union of India & Ors., (2003) 4 SCC289",3
"M/S IBP Company Ltd. and Anr. v. Sri T.A. Jayaprabhu and Ors. in Writ Appeal No. 582-597/2010, dated 22.01.2015 (Karnataka High Court)",3
"Onkarlal Bajaj v. UOI, (2003) 2 SCC 673",3
"Ram Ganesh Tripathi v. State of U.P., 1997 (75) FLR 554 (SC",3
"Sant Ram Sharma v. State of Rajasthan, AIR 1967 SC 1910",3
"B.N. Nagarajan v. State of Mysore, AIR 1966 SC 1942",3
Crl.P.No.3731 of 2018 and batch,3
"M/S IBP Company Ltd. and Anr. v. Sri T.A. Jayaprabhu and Ors., in Writ Appeal No. 582-597/2010, decided on 22.01.2015",3
"Delhi Petrol Dealer Association and Anr. v. Union of India & Ors., (1999) 81 DLT 400",3
"Electricity Board and Another v. Hari Shankar Jain and Others, AIR 1979 SC 65, wherein it was held",3
Swapan Kumar Pal & Ors v. Samitabhar Chakraborty & Ors. AIR 2001 SC 2353,3
"Vide SI Est etc. v. State of Madras, (1954) 1 MLJ 518 at page",3
Dr. Ashok Nigam and Anr. v. State of UP and Ors. in PIL(C) No. 10652/2017,3
