,count
under Section 482,32
"Section 482 of the Code of Criminal Procedure, 1973",22
Section 328,8
"Sections 188, 272, 273, 328 IPC",7
"Sections 7(1), 7(3), 20(1) of the COTP Act",7
Section 59(i) of the Food Safety and Standards Act,7
"Sections 188, 273 r/w 34 IPC",7
"Sections 5, 22 of the Cigarettes and Other Tobacco Products (Prohibition of Advertisement and Regulation of Trade and Commerce, Production, Supply and Distribution) Act, 2003",7
"Sections 270, 273 r/w 34 IPC",7
Section 482,7
under Section 59(i) of the Food Safety and Standards Act,7
Article 226 of the Constitution of India,6
Section 272,6
under Section 8(c),6
under Section 34(a),6
"Sections 7(1), 7(3), 20(1)",6
"Sections 307, 353, 420, 273, 188 IPC",6
Sections 8(c) r/w 20(b),6
"Sections 58, 59, 63",6
Section 20(2),6
