,count
"Food Safety and Standards Act, 2006",48
Code of Criminal Procedure,30
Indian Penal Code,20
"Cigarettes and Other Tobacco Products (Prohibition of Advertisement and Regulation of Trade and Commerce, Production, Supply and Distribution) Act, 2003",19
"Code of Criminal Procedure, 1973",12
"Standards Act, 2006",11
Constitution of India,9
"Regulation of Trade and Commerce, Production, Supply and Distribution) Act, 2003",8
Food Safety and Standards Act,8
"Commerce, Production, Supply and Distribution) Act, 2003",7
"Food Safety and Standard Act, 2006",7
"Narcotic Drugs and Psychotropic Substances Act, 1985",6
"Legal Metrology Act, 2009",5
"Safety and Standards Act, 2006",4
"Minimum Wages Act, 1948",4
"Indian Contract Act, 1872",4
"Indian Penal Code, 1860",3
"Advertisement and Regulation of Trade and Commerce, Production, Supply and Distribution) Act, 2003",3
"Metrology Act, 2009",3
"Payment of Wages Act, 1936",3
